Year,Country,Area,MedalType,GDP,MedalCount,game_season
1960,Australia,Oceania,BRONZE,18606562977.050076,6,Summer
1960,Australia,Oceania,GOLD,18606562977.050076,8,Summer
1960,Australia,Oceania,SILVER,18606562977.050076,8,Summer
1960,Austria,Europe,GOLD,6650133914.547951,1,Summer
1960,Austria,Europe,SILVER,6650133914.547951,1,Summer
1960,Belgium,Europe,BRONZE,11810619368.387356,2,Summer
1960,Belgium,Europe,SILVER,11810619368.387356,2,Summer
1960,Canada,North America,SILVER,40563768946.95027,1,Summer
1960,Denmark,Europe,BRONZE,6361166312.9475155,1,Summer
1960,Denmark,Europe,GOLD,6361166312.9475155,2,Summer
1960,Denmark,Europe,SILVER,6361166312.9475155,3,Summer
1960,Ethiopia,Africa,GOLD,1610511693.785427,1,Summer
1960,Finland,Europe,BRONZE,5279011362.127209,3,Summer
1960,Finland,Europe,GOLD,5279011362.127209,1,Summer
1960,Finland,Europe,SILVER,5279011362.127209,1,Summer
1960,France,Europe,BRONZE,62225478000.88224,3,Summer
1960,France,Europe,SILVER,62225478000.88224,2,Summer
1960,Germany,Europe,BRONZE,84310950194.11525,11,Summer
1960,Germany,Europe,GOLD,84310950194.11525,12,Summer
1960,Germany,Europe,SILVER,84310950194.11525,19,Summer
1960,Ghana,Africa,SILVER,1223943661.9718308,1,Summer
1960,Great Britain,Europe,BRONZE,73233967692.10281,12,Summer
1960,Great Britain,Europe,GOLD,73233967692.10281,2,Summer
1960,Great Britain,Europe,SILVER,73233967692.10281,6,Summer
1960,Greece,Europe,GOLD,4335191696.005855,1,Summer
1960,India,Asia,SILVER,37029883876.18387,1,Summer
1960,Iraq,Middle East,BRONZE,1537252191.859759,1,Summer
1960,Islamic Republic of Iran,Middle East,BRONZE,4199134389.903696,3,Summer
1960,Islamic Republic of Iran,Middle East,SILVER,4199134389.903696,1,Summer
1960,Italy,Europe,BRONZE,41915814948.0,13,Summer
1960,Italy,Europe,GOLD,41915814948.0,13,Summer
1960,Italy,Europe,SILVER,41915814948.0,10,Summer
1960,Japan,Asia,BRONZE,47419238274.461945,7,Summer
1960,Japan,Asia,GOLD,47419238274.461945,4,Summer
1960,Japan,Asia,SILVER,47419238274.461945,7,Summer
1960,Mexico,North America,BRONZE,13040000000.0,1,Summer
1960,Morocco,Africa,SILVER,2037154741.9321055,1,Summer
1960,Netherlands,Europe,BRONZE,13263458995.38695,2,Summer
1960,Netherlands,Europe,SILVER,13263458995.38695,1,Summer
1960,New Zealand,Oceania,BRONZE,5536098606.292308,1,Summer
1960,New Zealand,Oceania,GOLD,5536098606.292308,2,Summer
1960,Norway,Europe,GOLD,5197398721.413668,1,Summer
1960,Pakistan,Middle East,BRONZE,3749265014.6997066,1,Summer
1960,Pakistan,Middle East,GOLD,3749265014.6997066,1,Summer
1960,Portugal,Europe,SILVER,3339150157.8560543,1,Summer
1960,Singapore,Asia,SILVER,704751700.3024938,1,Summer
1960,South Africa,Africa,BRONZE,8748596501.0,2,Summer
1960,South Africa,Africa,SILVER,8748596501.0,1,Summer
1960,Spain,Europe,BRONZE,12433394725.215897,1,Summer
1960,Sweden,Europe,BRONZE,15953203852.683084,3,Summer
1960,Sweden,Europe,GOLD,15953203852.683084,1,Summer
1960,Sweden,Europe,SILVER,15953203852.683084,2,Summer
1960,Switzerland,Europe,BRONZE,10412232620.52584,3,Summer
1960,Switzerland,Europe,SILVER,10412232620.52584,3,Summer
1960,Turkey,Middle East,GOLD,7566666666.666666,7,Summer
